Date,Mahdia,Mednine,Ben Arous,Sfax,Zaghouane,Ariana,Gafsa,Nabeul,Tunis,Bizerte,Kairouan,Gabes,Gebili,Tatawene,Mannouba,Monastir,Sousse,Total,total tests,in quarentine
2020-03-11,3,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,7,,
2020-03-12,3,0,0,0,0,3,1,0,5,1,0,0,0,0,0,0,0,13,,
2020-03-13,3,0,0,0,0,4,1,0,6,2,0,0,0,0,0,0,0,16,,
2020-03-14,3,0,0,0,0,5,1,0,6,2,0,0,0,1,0,0,0,18,,
2020-03-16,3,0,0,0,0,5,1,0,7,2,1,0,0,1,0,0,0,20,,
2020-03-17,3,0,0,0,0,5,1,0,9,2,1,0,0,1,0,1,1,24,,
2020-03-18,,0,0,0,0,,,0,,2,,0,0,1,0,1,,29,,
2020-03-19,3,1,1,1,0,9,1,1,14,2,2,0,0,1,0,1,2,39,,
2020-03-20,3,1,2,1,0,13,1,1,17,2,2,0,0,4,0,3,4,54,690,
2020-03-21,3,3,4,1,0,16,1,1,15,2,2,0,0,4,0,3,5,60,816,
2020-03-22,3,3,5,4,0,15,1,1,22,2,2,1,1,5,0,5,5,75,948,
2020-03-23,3,5,8,4,0,16,1,1,29,2,1,1,1,5,1,5,5,89,1074,
2020-03-24,3,9,12,5,1,20,1,1,34,3,2,1,5,6,1,7,6,114,1211,10514
